scenario,method,seed,NMR,MSD,PE,MS_s,FT_drone_s,AU,RID_CR,RTF
02_dense_intersection,orca,28,3.472222222222222e-05,4.6588101147201195,1.0,130.0,1466.0,0.3859375,0.0,66829.17293808529
02_dense_intersection,orca,29,0.0,9.130851358635374,1.0,131.0,1239.0,0.3268229166666667,0.0,93505.09700414377
02_dense_intersection,orca,3,3.472222222222222e-05,4.502276269306631,1.0,109.0,1310.0,0.3453125,0.0,86274.20531301234
02_dense_intersection,orca,4,0.0,10.08891861521117,1.0,98.0,1099.0,0.2903645833333333,0.0,106003.36826569008
02_dense_intersection,orca,5,0.0,15.204610505473589,1.0,109.0,1276.0,0.33645833333333336,0.0,91405.55464248572
02_dense_intersection,orca,6,0.0,19.74252030610091,1.0,137.0,1373.0,0.36171875,0.0,84446.85899687592
02_dense_intersection,orca,7,0.0,11.96432518917187,1.0,118.0,1291.0,0.34036458333333336,0.0,90476.44898398114
02_dense_intersection,orca,8,0.0,13.785205807313785,0.9999999999999999,128.0,1172.0,0.309375,0.0,97280.28638824692
02_dense_intersection,orca,9,0.0,14.219053587929452,1.0,119.0,1307.0,0.34453125,0.0,90142.94417319009
02_dense_intersection,sdacs_hybrid,0,0.0,16.545175844345472,1.0,118.0,1140.0,0.30104166666666665,1.0,83155.53064228171
02_dense_intersection,sdacs_hybrid,1,0.0,14.998046993737304,1.0,108.0,1187.0,0.31328125,1.0,80733.7350969488
02_dense_intersection,sdacs_hybrid,10,0.0,7.84526634675384,1.0,112.0,1199.0,0.31640625,1.0,34379.01894324915
02_dense_intersection,sdacs_hybrid,11,0.0,16.261694453684292,1.0,118.0,1107.0,0.29244791666666664,1.0,89919.66801976941
02_dense_intersection,sdacs_hybrid,12,0.0,10.530730447083007,1.0,131.0,1345.0,0.35442708333333334,1.0,74485.19094333667
02_dense_intersection,sdacs_hybrid,13,0.0,14.417411520695735,1.0,111.0,1221.0,0.3221354166666667,1.0,77817.58002643076
02_dense_intersection,sdacs_hybrid,14,0.0,7.523971134487414,1.0,103.0,1272.0,0.33541666666666664,1.0,33723.46226973075
02_dense_intersection,sdacs_hybrid,15,0.0,19.490916229207397,1.0,115.0,1247.0,0.32890625,1.0,68826.91407464822
02_dense_intersection,sdacs_hybrid,16,0.0,11.423279088472665,1.0,133.0,1155.0,0.30494791666666665,1.0,34004.0201251264
02_dense_intersection,sdacs_hybrid,17,0.0,11.722849976428064,1.0,130.0,1254.0,0.3307291666666667,1.0,76279.68709868772
